symbol,direction,entry_date,exit_date,entry_price,exit_price,pnl_pct,bars
NI0,short,2016-01-07,2016-01-20,67480.0,69470.0,-0.028645458471282526,9
NI0,short,2016-02-15,2016-03-04,66320.0,71350.0,-0.07049754730203228,14
NI0,long,2016-08-02,2016-08-17,85180.0,81170.0,-0.047076778586522705,11
NI0,long,2016-10-28,2016-12-21,82570.0,92660.0,0.1221993460094466,38
NI0,short,2017-01-20,2017-02-08,81780.0,86810.0,-0.05794263333717309,8
NI0,short,2017-04-14,2017-06-22,80680.0,73840.0,0.09263271939328277,46
NI0,short,2017-07-10,2017-07-14,73550.0,76640.0,-0.04031837160751561,4
NI0,long,2017-08-17,2017-09-13,87940.0,92370.0,0.050375255856265566,19
NI0,long,2018-01-25,2018-02-12,104740.0,99820.0,-0.046973458086690845,12
NI0,long,2018-02-26,2018-03-06,105470.0,102410.0,-0.029012989475680317,6
NI0,long,2018-05-08,2018-05-11,105160.0,103920.0,-0.011791555724610103,3
NI0,long,2018-05-15,2018-07-06,107150.0,110980.0,0.03574428371441907,37
NI0,short,2018-10-18,2019-01-08,101140.0,90830.0,0.11350875261477489,56
NI0,long,2019-04-03,2019-04-19,103770.0,99230.0,-0.04375060229353378,11
NI0,short,2019-06-05,2019-06-17,96350.0,99430.0,-0.030976566428643215,7
NI0,long,2019-08-05,2019-09-27,118010.0,137970.0,0.1691382086263875,38
NI0,short,2020-01-21,2020-04-10,107480.0,97310.0,0.10451135546192591,51
NI0,long,2020-05-20,2020-05-26,102580.0,101020.0,-0.015207642815363576,4
NI0,long,2020-06-02,2020-06-15,103210.0,100290.0,-0.028291832186803645,9
NI0,long,2020-06-19,2020-06-24,104200.0,101640.0,-0.0245681381957773,3
NI0,long,2020-07-03,2020-09-11,105840.0,116150.0,0.09741118669690096,50
NI0,long,2020-11-16,2020-11-19,120240.0,116470.0,-0.031353958749168354,3
NI0,long,2020-11-24,2021-02-04,121200.0,130500.0,0.0767326732673268,51
NI0,long,2021-02-10,2021-03-08,136220.0,122070.0,-0.1038760828072236,13
NI0,short,2021-04-22,2021-04-28,119780.0,127330.0,-0.059294745935757454,4
NI0,long,2021-05-31,2021-06-18,132890.0,128300.0,-0.03453984498457374,13
NI0,long,2021-06-24,2021-08-11,134820.0,140370.0,0.041165999109924245,34
NI0,long,2021-08-31,2021-09-22,148850.0,144030.0,-0.03238159220691972,14
NI0,long,2022-02-14,2022-04-06,176520.0,223300.0,0.265012463176977,34
NI0,long,2022-04-19,2022-05-09,239830.0,209210.0,-0.12767376891965143,11
NI0,short,2022-07-15,2022-07-25,143430.0,170680.0,-0.15965549566440118,6
NI0,short,2022-08-29,2022-09-08,165060.0,175020.0,-0.05690778196777513,8
NI0,long,2022-10-25,2023-01-09,189160.0,212110.0,0.12132586170437731,53
NI0,short,2023-04-27,2023-06-16,179420.0,173320.0,0.03519501500115396,33
NI0,short,2023-06-29,2023-07-13,155190.0,166890.0,-0.07010605788243751,10
NI0,long,2023-09-04,2023-09-12,170710.0,162170.0,-0.050026360494405675,6
NI0,short,2023-10-31,2023-12-12,143580.0,131800.0,0.08937784522003045,30
NI0,short,2023-12-29,2024-01-25,125210.0,129720.0,-0.03476719087264879,18
NI0,short,2024-02-02,2024-02-23,126430.0,135620.0,-0.06776286683380028,9
NI0,long,2024-05-16,2024-06-05,146620.0,142000.0,-0.031510025917337314,14
NI0,short,2024-07-17,2024-08-21,131810.0,131550.0,0.0019764348156594558,25
NI0,short,2024-09-04,2024-09-26,125500.0,128540.0,-0.023650225610704845,14
NI0,short,2024-11-15,2024-11-27,123140.0,126520.0,-0.02671514385077456,8
NI0,short,2024-12-27,2025-01-10,124800.0,125480.0,-0.005419190309212674,9
NI0,long,2025-02-10,2025-02-13,127680.0,124280.0,-0.026629072681704224,3
NI0,short,2025-02-25,2025-03-03,124350.0,127090.0,-0.021559524746242786,4
NI0,short,2025-06-12,2025-06-30,120000.0,120830.0,-0.0068691550111726896,12
NI0,long,2025-08-12,2025-08-18,122440.0,120460.0,-0.01617118588696509,4
NI0,long,2025-09-15,2025-09-24,122580.0,121450.0,-0.009218469570892451,7
NI0,long,2025-09-25,2025-09-30,122990.0,120900.0,-0.01699325148386044,3
NI0,long,2025-10-09,2025-10-15,124480.0,121330.0,-0.02530526992287918,4
NI0,short,2025-12-15,2025-12-23,114690.0,123440.0,-0.07088464031108233,6
NI0,long,2026-01-23,2026-02-03,148360.0,135430.0,-0.0871528713939067,7
NI0,long,2026-02-27,2026-03-05,141560.0,136270.0,-0.037369313365357426,4
NI0,short,2026-04-02,2026-04-15,133730.0,141400.0,-0.05424328147100421,8
OI0,long,2007-09-10,2007-12-10,9304.0,10482.0,0.12661220980223553,60
OI0,long,2007-12-25,2008-01-15,10782.0,10700.0,-0.0076052680393248195,15
OI0,long,2008-01-16,2008-03-12,11450.0,13020.0,0.1371179039301309,34
OI0,short,2008-09-09,2008-11-05,8838.0,6904.0,0.280127462340672,36
OI0,short,2008-12-04,2008-12-24,6038.0,6150.0,-0.018211382113821117,14
OI0,long,2009-02-04,2009-02-20,6880.0,6760.0,-0.01744186046511631,12
OI0,long,2009-04-23,2009-06-22,7462.0,7668.0,0.027606539801661834,40
OI0,long,2009-08-26,2009-09-02,7834.0,7618.0,-0.027572121521572623,5
OI0,long,2009-11-12,2009-12-23,8066.0,8300.0,0.02901066203818492,29
OI0,long,2010-01-04,2010-01-14,8624.0,8184.0,-0.05102040816326525,8
OI0,long,2010-04-26,2010-05-10,8446.0,8270.0,-0.020838266635093583,9
OI0,long,2010-07-09,2010-08-24,8256.0,8532.0,0.03343023255813948,32
