direction,entry_date,exit_date,entry_price,exit_price,pnl_pct,bars,pnl%
long,2024-09-24 13:45:00,2024-09-25 14:15:00,1018.2538,1045.4654,0.02672378929496766,25,2.67
long,2024-10-08 09:15:00,2024-10-08 11:30:00,1203.0465,1161.3317,-0.03467430394419502,8,-3.47
short,2024-10-10 14:45:00,2024-10-11 22:00:00,1070.0992,1089.2027,-0.01753897598674692,28,-1.75
long,2024-10-14 11:15:00,2024-10-16 14:00:00,1118.0067,1208.7736,0.08118636498332266,49,8.12
long,2024-10-16 23:00:00,2024-10-17 10:45:00,1230.6045,1162.842,-0.05506440127595813,6,-5.51
long,2024-10-21 14:15:00,2024-10-23 10:45:00,1138.9768,1166.1751,0.02387959087489766,40,2.39
long,2024-10-23 21:15:00,2024-10-28 22:45:00,1188.3042,1331.2056,0.12025658076442047,75,12.03
short,2024-10-30 10:00:00,2024-10-30 22:15:00,1323.4227,1330.3375,-0.005197778759149507,16,-0.52
short,2024-10-31 22:15:00,2024-11-01 13:45:00,1297.6555,1328.1972,-0.022994853475071353,13,-2.3
long,2024-11-07 14:00:00,2024-11-07 22:30:00,1388.5675,1370.576,-0.012956878221620505,10,-1.3
long,2024-11-08 09:15:00,2024-11-08 10:45:00,1397.1251,1365.2691,-0.022801107789130692,5,-2.28
short,2024-11-08 22:45:00,2024-11-12 14:30:00,1341.3789,1319.7902,0.01635767563662771,37,1.64
short,2024-11-15 14:45:00,2024-11-19 11:30:00,1258.0115,1253.0567,0.0039541706293098056,41,0.4
short,2024-11-25 10:45:00,2024-11-25 11:30:00,1243.9839,1247.9765,-0.0031992589604051824,3,-0.32
short,2024-11-25 14:15:00,2024-11-26 09:45:00,1237.9924,1241.2137,-0.002595282343403005,14,-0.26
long,2024-11-29 10:00:00,2024-11-29 21:45:00,1260.2535,1253.5029,-0.005356541362511624,14,-0.54
short,2024-12-09 09:15:00,2024-12-09 21:15:00,1197.1547,1253.0805,-0.04463065222066742,15,-4.46
long,2024-12-11 14:00:00,2024-12-11 14:45:00,1234.5572,1228.5298,-0.004882236319224353,3,-0.49
long,2024-12-18 21:30:00,2024-12-19 21:45:00,1255.52,1237.212,-0.01458200586211289,24,-1.46
long,2024-12-23 22:30:00,2024-12-25 09:45:00,1252.3967,1249.0944,-0.0026367843351871034,28,-0.26
short,2024-12-26 14:00:00,2024-12-30 10:45:00,1226.8052,1218.6888,0.006659944688094388,41,0.67
short,2024-12-30 21:15:00,2024-12-31 14:00:00,1203.9695,1208.7434,-0.003949473477993903,18,-0.39
long,2025-01-03 10:00:00,2025-01-06 14:45:00,1254.5323,1258.9213,0.0034985149445732056,33,0.35
long,2025-01-07 09:45:00,2025-01-07 14:30:00,1270.5814,1258.4011,-0.009586398793497208,10,-0.96
short,2025-01-08 15:00:00,2025-01-09 09:45:00,1219.6176,1233.4849,-0.011242375160003926,11,-1.12
long,2025-01-10 14:00:00,2025-01-15 14:15:00,1249.0177,1314.5348,0.052454901159527,70,5.25
long,2025-01-15 22:15:00,2025-01-16 11:00:00,1320.8524,1315.3072,-0.004198198072699166,10,-0.42
long,2025-01-16 13:45:00,2025-01-20 09:45:00,1326.3371,1340.5751,0.010734827518584789,39,1.07
short,2025-01-21 10:45:00,2025-01-21 11:30:00,1335.0,1371.6288,-0.02670460112823525,3,-2.67
short,2025-01-22 11:00:00,2025-01-22 13:45:00,1320.31,1353.6578,-0.024635325116879603,3,-2.46
long,2025-01-24 14:45:00,2025-01-24 21:45:00,1361.7969,1337.2089,-0.018055555861523853,4,-1.81
short,2025-01-27 10:00:00,2025-02-05 23:00:00,1314.6453,1305.8901,0.006704392659075742,34,0.67
short,2025-02-12 09:15:00,2025-02-12 21:30:00,1276.6341,1283.1374,-0.0050682802948460726,16,-0.51
short,2025-02-13 09:30:00,2025-02-14 10:45:00,1266.2915,1227.9251,0.031244902478172465,27,3.12
short,2025-02-17 13:45:00,2025-02-17 21:15:00,1207.273,1230.4073,-0.01880214787412282,6,-1.88
long,2025-02-19 21:15:00,2025-02-20 11:00:00,1245.1843,1238.647,-0.00525006619502022,14,-0.53
long,2025-02-20 14:00:00,2025-02-20 21:45:00,1247.9344,1241.9166,-0.00482220860327276,7,-0.48
short,2025-02-24 09:15:00,2025-02-24 14:30:00,1205.8477,1220.252,-0.01180436500001636,12,-1.18
short,2025-02-24 22:15:00,2025-02-26 11:30:00,1205.8605,1194.6044,0.009422449808488942,35,0.94
short,2025-02-26 21:15:00,2025-02-26 23:00:00,1181.5329,1189.6954,-0.00686099988282729,7,-0.69
long,2025-02-28 11:15:00,2025-03-03 14:15:00,1207.9315,1223.0,0.012474631218740484,27,1.25
long,2025-03-03 22:30:00,2025-03-04 09:30:00,1232.0,1221.0,-0.008928571428571397,4,-0.89
long,2025-03-04 11:00:00,2025-03-04 22:45:00,1232.0,1218.0,-0.011363636363636354,15,-1.14
short,2025-03-06 09:15:00,2025-03-06 10:00:00,1170.0241,1204.8618,-0.028914270499736827,3,-2.89
long,2025-03-17 21:45:00,2025-03-18 14:15:00,1180.9211,1162.9504,-0.015217528080411213,17,-1.52
short,2025-03-19 09:30:00,2025-03-19 14:30:00,1166.9503,1173.9337,-0.005948717546825799,11,-0.59
short,2025-03-20 14:15:00,2025-03-20 22:15:00,1168.9592,1172.9594,-0.00341034821836117,8,-0.34
long,2025-03-25 15:00:00,2025-03-26 09:45:00,1259.9861,1238.9517,-0.016694152419617914,11,-1.67
short,2025-03-28 09:15:00,2025-03-31 14:15:00,1225.8988,1194.0892,0.026639215897773738,34,2.66
short,2025-04-08 21:30:00,2025-04-09 14:15:00,1175.8843,1176.5262,-0.000545589209998143,18,-0.05
short,2025-04-11 14:30:00,2025-04-14 13:45:00,1144.7733,1157.265,-0.010794156913066622,20,-1.08
long,2025-04-16 22:15:00,2025-04-17 09:45:00,1155.3935,1149.6013,-0.005013183820057776,6,-0.5
long,2025-04-23 14:30:00,2025-04-24 09:45:00,1106.5285,1090.9066,-0.014117937314764073,13,-1.41
short,2025-04-25 14:15:00,2025-04-28 09:30:00,1072.5853,1083.714,-0.010269037771958311,13,-1.03
